タイプ,回数/項目,内容
評価基準,講義内演習や課題への取り組み,20%
評価基準,中間試験,40%
評価基準,定期試験,40%
授業計画,第1回,行列の定義とその演算
授業計画,第2回,行列の演算法則
授業計画,第3回,行列の転置と正則行列
授業計画,第4回,行列の分割
授業計画,第5回,連立1次方程式と基本行列
授業計画,第6回,行基本変形と階段行列
授業計画,第7回,連立1次方程式の解法
授業計画,第8回,中間試験・解説(以降鈴木康が担当)
授業計画,第9回,逆行列の求め方
授業計画,第10回,行列の階数
授業計画,第11回,行列式の定義
授業計画,第12回,行列式の基本性質
授業計画,第13回,転置と積の行列式
授業計画,第14回,行列式の展開
授業計画,第15回,まとめ
授業計画,,定期試験
