タイプ,回数/項目,内容
評価基準,期末試験,約70%
評価基準,小テスト,約30%
評価基準,授業への積極性、学習態度,若干
授業計画,第1回,イントロダクション
授業計画,第2回,関数呼び出し
授業計画,第3回,リスト入門
授業計画,第4回,型宣言
授業計画,第5回,一般的なHaskellの型
授業計画,第6回,型変数と型クラス
授業計画,第7回,パターンマッチ
授業計画,第8回,ローカルな束縛
授業計画,第9回,再帰関数
授業計画,第10回,高階関数
授業計画,第11回,モジュール
授業計画,第12回,データ型の定義
授業計画,第13回,再帰的なデータ構造
授業計画,第14回,実践的課題
授業計画,第15回,まとめ
授業計画,,定期試験
