タイプ,回数/項目,内容
評価基準,平常点,60%
評価基準,技術点,20%
評価基準,受講姿勢,20%
授業計画,第1回,オリエンテーション：授業進行・注意事項の説明
授業計画,第2回,基本：グループ編成、簡易ゲーム
授業計画,第3回,基本：オーバーハンドパス、アンダーハンドパス、簡易ゲーム
授業計画,第4回,基本：サーブ、サーブレシーブ、簡易ゲーム
授業計画,第5回,基本：スパイク、簡易ゲーム
授業計画,第6回,基本：ブロック、簡易ゲーム
授業計画,第7回,応用：サーブレシーブからスパイク1、簡易ゲーム
授業計画,第8回,応用：サーブレシーブからスパイク2、簡易ゲーム
授業計画,第9回,応用：ゲーム1
授業計画,第10回,応用：ゲーム2
授業計画,第11回,応用：ゲーム3
授業計画,第12回,応用：ゲーム4
授業計画,第13回,応用：ゲーム5
授業計画,第14回,応用：ゲーム6
授業計画,第15回,まとめ：基礎技術についての実技テスト
