タイプ,回数/項目,内容
評価基準,中間レポート,50%
評価基準,最終レポート,50%
授業計画,第1回,イントロダクション：講義全体の概観、およびイノベーション・スタートアップが期待される現在の概況
授業計画,第2回,著作権（１）：著作権の歴史と現状
授業計画,第3回,著作権（２）：ディジタル時代の著作権と注意点
授業計画,第4回,著作権（３）：事例研究
授業計画,第5回,特許（１）：特許の歴史と現状
授業計画,第6回,特許（２）：ディジタル時代の特許
授業計画,第7回,特許（３）：事例研究
授業計画,第8回,前半のまとめと演習
授業計画,第9回,情報倫理（１）：情報倫理とはなにか
授業計画,第10回,情報倫理（２）：事例研究
授業計画,第11回,技術者倫理（１）：技術者倫理とはなにか、アントレプレナーシップとは
授業計画,第12回,技術者倫理（２）：事例研究
授業計画,第13回,研究倫理（１）：研究倫理とはなにか
授業計画,第14回,研究倫理（２）：事例研究
授業計画,第15回,全体のまとめ
