曜日,時限,講義名,講師,教室名
月,2,アルゴリズムとデータ,何,S101
月,4,データサイエンスへの招待,何,H204
火,1,微分積分2,藤江,S201
火,2,英語1A,大門,B208
火,3,線形代数2,代田,S201
火,5,教職入門,内田,S101
水,1,情報科,吉岡,C
水,2,情報科,吉岡,C
木,1,プログラミング2,山本,S201
木,4,コンピュータアーキテクチャ1,佐々木,S201
金,1,英語1B,山本,B205
金,2,離散数学2,太田,S201
金,3,ソフトボール,加納,グラウンド
金,4,社会学入門,長澤,
